reviewer_name,star_rating,review
Lora ,5,"I'm going to keep this brief since there isn't much to say that hasn't already been said. *clears throat*
I think the reason I waited so long to read this series is because I just couldn't imagine myself enjoying reading about an eleven-year-old boy and his adventures at a school of wizardry. I thought it would be too juvenile for my taste. I was wrong, of course.
I can honestly say that I loved every minute of this. It's a spectacular little romp with funny, courageous, and endearing characters that you can't help but love.
It has talking chess pieces, singing hats, a giant three-headed dog named Fluffy, a hilarious giant with a dragon fetish, a master wizard that's just a little bit crazy, mail carrier owls, goblins running a bank, unicorns, centaurs(!), trolls . . . and probably much more that I'm forgetting.
And then there's the lead characters: Hermione, the young scholar who starts out prim and up-tight but soon becomes a true friend; Ron, the boy who has little money but who has an abundance of family and loyalty to his friends to make up for it; and then there's Harry, the boy who starts out sleeping in a closet and ends up being a hero. Harry is kind to those that deserve it, fearless when it counts the most, and wonderfully intelligent. What's not to love?

In regards to the ending: (view spoiler)

FAVORITE QUOTE: ""But from that moment on, Hermione Granger became their friend. There are some things you can't share without ending up liking each other, and knocking out a twelve-foot mountain troll is one of them.""

Now, if you'll excuse me, I'm off to start Harry Potter and the Chamber of Secrets."
Zoë ,5,I will never ever rate this lower than 5 stars. BEAUTIFUL.
Sasha Alsberg,5,Why the heck did I not read Harry Potter before now...its flipping magical (literally)!
Jayson ,4,"(A-) 83% | Very Good
Notes: Despite a weak climax, it's a delightful read: an excellent introduction to its richly layered, wildly imaginative world."
Harold Bloom ,1,"Can 35 Million Book Buyers Be Wrong? Yes.

Taking arms against Harry Potter, at this moment, is to emulate Hamlet taking arms against a sea of troubles. By opposing the sea, you won't end it. The Harry Potter epiphenomenon will go on, doubtless for some time, as J. R. R. Tolkien did, and then wane.

The official newspaper of our dominant counter-culture, The New York Times, has been startled by the Potter books into establishing a new policy for its not very literate book review. Rather than crowd out the Grishams, Clancys, Crichtons, Kings, and other vastly popular prose fictions on its fiction bestseller list, the Potter volumes will now lead a separate children's list. J. K. Rowling, the chronicler of Harry Potter, thus has an unusual distinction: She has changed the policy of the policy-maker.

Imaginative Vision

I read new children's literature, when I can find some of any value, but had not tried Rowling until now. I have just concluded the 300 pages of the first book in the series, ""Harry Potter and the Sorcerer's Stone,"" purportedly the best of the lot. Though the book is not well written, that is not in itself a crucial liability. It is much better to see the movie, ""The Wizard of Oz,"" than to read the book upon which it was based, but even the book possessed an authentic imaginative vision. ""Harry Potter and the Sorcerer's Stone"" does not, so that one needs to look elsewhere for the book's (and its sequels') remarkable success. Such speculation should follow an account of how and why Harry Potter asks to be read.

The ultimate model for Harry Potter is ""Tom Brown's School Days"" by Thomas Hughes, published in 1857. The book depicts the Rugby School presided over by the formidable Thomas Arnold, remembered now primarily as the father of Matthew Arnold, the Victorian critic-poet. But Hughes' book, still quite readable, was realism, not fantasy. Rowling has taken ""Tom Brown's School Days"" and re-seen it in the magical mirror of Tolkein. The resultant blend of a schoolboy ethos with a liberation from the constraints of reality-testing may read oddly to me, but is exactly what millions of children and their parents desire and welcome at this time.

In what follows, I may at times indicate some of the inadequacies of ""Harry Potter."" But I will keep in mind that a host are reading it who simply will not read superior fare, such as Kenneth Grahame's ""The Wind in the Willows"" or the ""Alice"" books of Lewis Carroll. Is it better that they read Rowling than not read at all? Will they advance from Rowling to more difficult pleasures?

Rowling presents two Englands, mundane and magical, divided not by social classes, but by the distinction between the ""perfectly normal"" (mean and selfish) and the adherents of sorcery. The sorcerers indeed seem as middle-class as the Muggles, the name the witches and wizards give to the common sort, since those addicted to magic send their sons and daughters off to Hogwarts, a Rugby school where only witchcraft and wizardry are taught. Hogwarts is presided over by Albus Dumbeldore as Headmaster, he being Rowling's version of Tolkein's Gandalf. The young future sorcerers are just like any other budding Britons, only more so, sports and food being primary preoccupations. (Sex barely enters into Rowling's cosmos, at least in the first volume.)

----------------------------

The first half of a little piece I wrote from the Journal in July 2000. Rest is available at [http://wrt-brooke.syr.edu/courses/205...]."
Amanda Patterson ,1,"These books terrify me.
They are badly written and they have plots that don't make sense.
Read Artemis Fowl instead. Please!
Anybody who tells me that they have only read Harry Potter and / or The Da Vinci Code scares me even more.
That statement will keep me away from the books and away from the people who read them."
Bria,1,"You're a wimp Harry.

Harry is the perfect bland character that the reader can feel at home with. He does not have any talents that anyone would be jealous of or feel threatened by. He is not overly attractive, tall, muscular, athletic, intelligent, coordinated, over-the-top, brave, confident, knowledgeable or talented. In fact he doesn't have any hobbies or interests to speak of when he is first introduced. He is completely and totally average.

But here is the kicker, even though he is totally average, everybody knows his name and his fame has spread throughout the magical world. This is easily every kid's dream. To not have to work or be talented, and still be gifted with this intense fame and notoriety. It's a perfect bed-time story that you would tell a small child and could easily be replaced with, ""Sammy you are such a special little boy and everyone saw how special you were right away. The whole world knew Sammy's name and just how special he was.""

Not only is Harry well-known but is always under the media's eye and captures headmaster's (and other people of power) interest. Another testament to his 'specialness'. Harry's character reaches into the childish need of people to be recognized for their talents that they already possess, not for working hard or striving for improvement of these talents. We want to be praised for just being ourselves! Harry also can do whatever he wants and go into the blocked off areas of campus. This feeds another childish need, the need to explore and be bad and see if you will get reprimanded. However Harry is never reprimanded, in fact he is praised for his behavior. He is so 'special' that even when he is being bad and not following the rules, it's because he has picked up clues that no one else but him, a child, can see. He is quite literally the 'the one and only'. As a reader this is enticing! How amazing would it be to be Harry! To not have to work or study or earn these adventures, but simply through your birth and by being yourself, you were given these adventures and have a different set of rules than everybody else! As Harry, you are prized and one-of-a-kind.

However everyone has to experience some hardship and Harry is given his by being left as an orphan. Another childish dream come true! Who needs nasty parents that always ruin your fun? (Disney agrees. Parents affect the plot line too much). Naturally this works out well for Harry. It gives him a pitiful, depressive attitude and buckets of money. Now he has money, no one to stop him or set rules for him as he goes gallivanting off to fight the Big Evil. It also gives him a chip on his shoulder that the reader can sympathize with. Without this sympathy Harry would just be an average kid who won the lottery and got to practice magic at a cool school, but since he is an ORPHAN that won the lottery and practices magic the reader feels bad for him and works even harder to like him and feel connected to him. To put the cherry on the top, little rich magical Harry is forced to live in a nice home with stupid people. They don't beat him but instead refuse to give him gifts and make him feel more average and like a weirdo. What reader hasn't felt like a weirdo in their life? This struggle is the final connection to Harry and the reader is drawn in hook line and sinker.

Although Harry consistently moans about his loneliness he has a close knit group of friends that would give their life for him. In order to make up for Harry's average self his friends possess more talents, cleverness and influence than him. The headmaster has power, Hermione has intelligence, Ron has strength and a place for Harry to stay/family, and Hagrid has information and access to the school. Therefore Harry is lifted from the burden of ever having to improve himself because he has amassed friends that can help him in any situation. Score. However average Harry is having a hard time making friends at school due to jealousy. It seems oh so strange that people would dare to jealous of little rich magical famous Harry. In order to combat this jealousy Harry easily discovers that his does have a hidden talent: flying on a broomstick! It was locked in his DNA (thanks Dad!) and needed no training or experience to work perfectly. Now he has one claim to fame that the other kids can admire instead of be jealous of! Since he will fly on the Hogworts team he is now an asset to the student body. Yay Harry! You have succeeded without work again! However these team practices are often too much of a commitment for Harry so he finds many excuses to miss them. Since he is such a favorite, the team agrees.

But Harry has run into some trouble. It seems that his refusal to be friends with a rude boy has led to ever-lasting hatred! Poor Draco is given no depth besides that of a preppy little twat. Harry can't fight someone more interesting or pitiful than him so it's better that Draco has no personality or any excuse for the reader to like him. We wouldn't want to forget about Harry!

But what is the point of having powerful friends, magic, money and fame if you have no one to share them with? Big relief, Harry is poised to fight the Big Evil! It seems that he is the only one who can do it, not because of his own merit of course. It's because his mother was so amazing that she wrapped him in her love like armor. Harry is the most well-loved orphan of all time! Step aside Annie. Good thing you have armor Harry, it would be very boring for the reader to hear about how you had to train and exert yourself to defeat the Big Evil. That is also something the reader has a hard time relating to. After all, the reader has never been in an epic fight with magic. Also it would ruin the whole childish appeal of the novel if Harry didn't have some secret way of defeating the Big Evil. This secret way is easily accessible and coveted. Instead of a sword or an amulet, Harry has feelings and everybody has feelings so we all can stop the Big Evil! Thanks for involving the reader Harry!

I hope by this part in the review you have recognized my sarcasm. If not, feel free to re-read.

Harry, the epitome of our Facebook, Twitter, fame-ridden dreams has also recently become the center of many new college courses. What a better place to study average Harry than a place of knowledge! To achieve the full experience of understanding and becoming Harry, colleges now offer clubs where you too can play on a broom! *These clubs vary in their descriptions, see a college catalogue for assistance* Also once you sign up for a Harry class be sure to pick up the pamphlet for the next new class, scheduled right after Harry, for white privilege! Don't let this juxtaposition fool you. It is natural to be interested and obsessed with both topics. Although Harry is a white, rich, famous male he is an orphan that experienced some mild bulling so there is no way he could fall underneath this new buzzword category of 'white privilege'. If this confuses you, please rant on FaceBook about it."
Sabrina,2,"After billions of years, I finally read this book and I came to the conclusion that I would have liked this more if I had read it at a younger age."
Nina,5,"My second-favorite part of this series! I've read all the books about 6 to 7 times now and whenever I reread them the parts in which Harry finds out that he's a wizard and learns about the wizarding world make me feel like I'm new to this world as well! :)

2018 REREAD: I still love this book so much! Also, I finally read the illustrated version of the book and it’s absolutely beautiful!"
Ginger,2,"I want to like the Harry Potter novels, I really do.

After years of trying to stay away, I finally dove in.

I will say this, I suspect that a great many of the adults who are reading HP books are really far more in love with the setting than the actual stories themselves. I adore the thought of a snowy, cozy boarding school with feasts and friends and dusty old curriculum.

But, as a former educator who still reads a LOT of children's fiction there is MUCH BETTER out there, friends. Much better. I find the story oversimplified, even on a child's level, and I don't find the plots and themes a little hollow.

The characters are charming enough I suppose, and I believe this is why they are so popular.

I'm going to keep slogging through the series, because I want to be clued in on such a pop culture phenomenon, but HP just isn't my cup."
